ID;id_season;family;category;fabric;color_rgb;length_type;silhouette_type;waist_type;neck_lapel_type;sleeve_length_type;heel_shape_type;toecap_type;woven_structure;knit_structure;print_type;archetype;moment;phase_in;phase_out;life_cycle_length;num_stores;num_sizes;has_plus_sizes;price;Production;weekly_demand
17;invierno;Trousers;Bottoms;WOVEN;225,204,175;Long;;;;;;;;;Sin Estampado;Casual Chic;CASUAL WORK;4/9/2023;12/11/2023;10;800;11;FALSE;29.99;37431;8896
18;invierno;Coats;Outerwear;WOVEN;49,47,72;Long;Straight;;Peak Lapel;Long;;;Medium;;Sin Estampado;Lady;FORMAL WORK;16/9/2024;22/12/2024;14;934;11;TRUE;79.99;39841;15671
19;verano;Dresses;Dresses, jumpsuits and Complete set;WOVEN;29,80,144;Long;Evase;;Shirt-style collar;Long;;;Light;;Otros Estampados;;CASUAL WORK;11/3/2024;5/5/2024;8;1135;11;TRUE;39.99;35895;9209
20;invierno;T-shirt;Tops;CIRCULAR;245,244,238;Standard;Regular;;;;;;;;Sin Estampado;Lady;CASUAL WORK;12/8/2024;3/11/2024;12;384;5;FALSE;15.99;25394;3890
22;verano;Shirt;Tops;WOVEN;245,244,238;Standard;Straight;;;Sleeveless;;;Light;;Sin Estampado;Wow;FORMAL WORK;3/4/2023;14/5/2023;6;282;5;FALSE;29.99;13798;6657
24;verano;Jackets;Outerwear;SYNTHETIC LEATHER;0,0,0;Short;Oversize;;Shirt-style collar;Long;;;Heavy;;Sin Estampado;Casual Chic;TIME OFF;11/3/2024;19/5/2024;10;816;7;FALSE;59.99;27009;3762
26;invierno;Blazers;Outerwear;WOVEN;133,65,142;;;;Flap;Long;;;Medium;;Sin Estampado;Lady;FORMAL EVENT;6/11/2023;31/12/2023;8;249;7;FALSE;69.99;3074;3218
27;verano;Puffer coats;Outerwear;WOVEN;0,0,0;Standard;Slim;;Turtle neck;Long;;;Medium;;Sin Estampado;Lady;TIME OFF;11/12/2023;3/3/2024;12;789;11;FALSE;39.99;28974;12441
28;verano;Jumpsuit;Dresses, jumpsuits and Complete set;WOVEN;226,211,110;Long;Slim;;Asymmetric;Three quarters;;;Medium;;Sin Estampado;;CASUAL EVENT;28/11/2022;19/2/2023;12;94;5;FALSE;59.99;4408;606
29;verano;Intimate;Accesories, Swim and Intimate;CIRCULAR;29,80,144;;;;;;;;;;Sin Estampado;;TIME OFF;28/11/2022;5/2/2023;10;29;3;FALSE;19.99;778;276
30;invierno;Trousers;Bottoms;CIRCULAR;0,0,0;Long;Palazzo;High Waist;;;;;Light;;Sin Estampado;Expert;TIME OFF;22/5/2023;13/8/2023;12;1145;11;FALSE;22.99;69202;50029
31;invierno;Skirts;Bottoms;WOVEN;116,60,69;Midi;Straight;Adjustable / Rubber;;;;;Light;;Sin Estampado;;CASUAL WORK;12/8/2024;6/10/2024;8;813;7;FALSE;35.99;25138;5524
32;invierno;Tops;Tops;CIRCULAR;0,0,0;Standard;Slim;;Rounded Neck;Sleeveless;;;Light;;Sin Estampado;Authentic;TIME OFF;29/7/2024;6/10/2024;10;491;5;FALSE;15.99;23715;13004
33;verano;Jumpsuit;Dresses, jumpsuits and Complete set;LEATHER;129,105,81;Short;Straight;;;Short;;;Heavy;;Sin Estampado;Casual Chic;CASUAL WORK;30/1/2023;12/3/2023;6;19;4;FALSE;199.99;328;43
35;verano;Cardigans;Tops;TRICOT;0,0,0;Standard;Oversize;;Close-fitting;Long;;;;Fine point;Sin Estampado;Ideal;TIME OFF;29/1/2024;24/3/2024;8;353;7;FALSE;49.99;15156;3436
36;invierno;T-shirt;Tops;CIRCULAR;145,145,144;Standard;Straight;;Boat;Long;;;Light;;Sin Estampado;;TIME OFF;19/8/2024;8/12/2024;16;972;6;FALSE;9.99;67103;43173
37;invierno;Jeans;Bottoms;JEANS;23,26,28;Standard;Straight;Regular Waist;;;;;Medium;;Sin Estampado;;TIME OFF;17/7/2023;8/10/2023;12;847;8;FALSE;29.99;53568;19343
38;invierno;Dresses;Dresses, jumpsuits and Complete set;CIRCULAR;132,39,86;Maxi;Oversize;;Halter;Sleeveless;;;Medium;;Sin Estampado;Expert;CASUAL EVENT;27/11/2023;21/1/2024;8;57;5;FALSE;59.99;2134;192
39;invierno;Trenchcoats;Outerwear;SYNTHETIC LEATHER;0,0,0;Long;Straight;;Flap;;;;Heavy;;Sin Estampado;Casual Chic;TIME OFF;4/9/2023;12/11/2023;10;241;7;FALSE;89.99;6538;3888
40;verano;Skirts;Bottoms;WOVEN;212,200,181;Short;Evase;High Waist;;;;;Light;;Sin Estampado;Casual Chic;CASUAL WORK;1/1/2024;11/2/2024;6;43;4;FALSE;35.99;1983;190
41;invierno;Sweater;Tops;TRICOT;0,0,0;Standard;Slim;;Close-fitting;Long;;;;Fine point;Sin Estampado;;CASUAL WORK;26/8/2024;20/10/2024;8;966;8;TRUE;19.99;63758;27187
42;invierno;Shirt;Tops;WOVEN;242,160,157;Long;Oversize;;Shirt-style collar;Long;;;Light;;Sin Estampado;;CASUAL WORK;14/8/2023;22/10/2023;10;470;7;FALSE;39.99;19725;3979
45;verano;Dresses;Dresses, jumpsuits and Complete set;WOVEN;0,0,0;Midi;Slim;;Low cut;Sleeveless;;;Light;;Sin Estampado;;FORMAL WORK;11/3/2024;5/5/2024;8;1152;5;FALSE;39.99;38066;16605
46;verano;Skirts;Bottoms;WOVEN;97,91,78;Asymmetric;Evase;High Waist;;;;;Light;;Sin Estampado;Lady;CASUAL WORK;26/2/2024;21/4/2024;8;81;5;FALSE;49.99;2596;443
47;invierno;Tops;Tops;CIRCULAR;0,0,0;Standard;Slim;;Halter;Sleeveless;;;Medium;;Sin Estampado;Lady;CASUAL EVENT;25/9/2023;3/12/2023;10;88;5;FALSE;22.99;3638;751
48;invierno;T-shirt;Tops;CIRCULAR;61,40,49;Standard;Regular;;Rounded Neck;Short;;;Medium;;Rayas;Authentic;TIME OFF;29/5/2023;20/8/2023;12;58;5;FALSE;9.99;8334;2284
49;verano;Dresses;Dresses, jumpsuits and Complete set;WOVEN;242,160,157;Short;Evase;;Rounded Neck;Long;;;Light;;Flores;Casual Chic;CASUAL EVENT;27/3/2023;7/5/2023;6;424;7;FALSE;35.99;19647;11533
50;invierno;Puffer coats;Outerwear;WOVEN;0,0,0;Standard;Oversize;;Rounded Neck;Long;;;Heavy;;Sin Estampado;Ideal;TIME OFF;11/9/2023;19/11/2023;10;364;7;FALSE;49.99;23471;2600
51;invierno;Cardigans;Tops;TRICOT;0,0,0;Standard;Straight;;Rounded Neck;Short;;;;Fine point;Sin Estampado;;CASUAL WORK;26/8/2024;6/10/2024;6;237;3;FALSE;35.99;13208;3471
52;invierno;T-shirt;Tops;CIRCULAR;0,0,0;Standard;Regular;;Boat;Long;;;Light;;Sin Estampado;Authentic;CASUAL WORK;21/8/2023;10/12/2023;16;1028;11;FALSE;15.99;73169;50969
54;invierno;Sweater;Tops;TRICOT;102,102,102;Medium;Straight;;Perkins;Long;;;;Midpoint;Sin Estampado;;TIME OFF;14/10/2024;8/12/2024;8;1035;11;TRUE;29.99;27622;19740
55;invierno;Sweater;Tops;TRICOT;186,186,186;Standard;Slim;;Close-fitting;Long;;;;Fine point;Sin Estampado;;CASUAL WORK;9/9/2024;3/11/2024;8;904;5;FALSE;25.99;26615;9263
56;verano;Tops;Tops;CIRCULAR;233,227,214;Crop;Straight;;Rounded Neck;Sleeveless;;;Light;;Sin Estampado;Lady;TIME OFF;8/5/2023;18/6/2023;6;408;5;FALSE;35.99;20268;17398
57;verano;Trenchcoats;Outerwear;WOVEN;81,77,50;Long;Straight;;Flap;;;;Medium;;Sin Estampado;Casual Chic;CASUAL WORK;6/2/2023;30/4/2023;12;827;11;TRUE;69.99;39230;23011
58;invierno;Skirts;Bottoms;TRICOT;233,227,214;Midi;Straight;Adjustable / Rubber;;;;;;Midpoint;Sin Estampado;;TIME OFF;7/10/2024;3/11/2024;4;188;3;FALSE;39.99;5411;3655
59;verano;Jeans;Bottoms;JEANS;219,207,189;Crop;Flared / Flare;Regular Waist;;;;;Medium;;Sin Estampado;;TIME OFF;13/11/2023;12/5/2024;26;1148;11;FALSE;25.99;128698;104162
61;verano;Dresses;Dresses, jumpsuits and Complete set;WOVEN;29,80,144;Long;Evase;;Halter;Sleeveless;;;Light;;Lunares/Topos;Wow;FORMAL EVENT;13/3/2023;23/4/2023;6;1139;11;TRUE;59.99;36786;24592
63;invierno;Jeans;Bottoms;JEANS;45,57,78;Long;Flared / Flare;Adjustable / Rubber;;;;;Medium;;Sin Estampado;;TIME OFF;24/7/2023;17/9/2023;8;25;5;FALSE;39.99;3132;1218
64;invierno;Shirt;Tops;WOVEN;245,237,193;Standard;Oversize;;V-Neck;Long;;;Light;;Sin Estampado;Lady;CASUAL WORK;22/5/2023;16/7/2023;8;822;7;FALSE;22.99;31986;13358
66;invierno;Tops;Tops;CIRCULAR;0,0,0;Standard;Straight;;V-Neck;Fine Strap;;;Medium;;Sin Estampado;Lady;CASUAL EVENT;4/11/2024;29/12/2024;8;854;7;FALSE;22.99;21132;7671
67;verano;Jumpsuit;Dresses, jumpsuits and Complete set;JEANS;45,57,78;Long;Slim;;;;;;;;Sin Estampado;;TIME OFF;11/12/2023;3/3/2024;12;1005;7;FALSE;49.99;21010;5147
68;verano;Jumpsuit;Dresses, jumpsuits and Complete set;CIRCULAR;0,0,0;Crop;Straight;;;;;;Light;;Sin Estampado;;FORMAL WORK;27/2/2023;21/5/2023;12;1128;7;FALSE;29.99;57038;22481
69;verano;Skirts;Bottoms;WOVEN;243,242,238;Long;Evase;Adjustable / Rubber;;;;;Light;;Flores;;CASUAL WORK;11/3/2024;5/5/2024;8;1112;6;FALSE;25.99;35174;10557
70;invierno;Tops;Tops;CIRCULAR;0,0,0;Crop;Straight;;Rounded Neck;Short;;;Light;;Sin Estampado;;TIME OFF;17/6/2024;11/8/2024;8;285;5;FALSE;22.99;24567;8119
71;invierno;Dresses;Dresses, jumpsuits and Complete set;CIRCULAR;0,0,0;Midi;Straight;;;;;;;;Sin Estampado;Authentic;CASUAL WORK;10/7/2023;3/9/2023;8;996;11;FALSE;35.99;30159;20557
72;verano;Jackets;Outerwear;WOVEN;189,22,62;Standard;Straight;;Rounded Neck;Long;;;Heavy;;Cuadros;;CASUAL EVENT;19/12/2022;12/3/2023;12;160;5;FALSE;6.99;3723;2261
73;verano;Dresses;Dresses, jumpsuits and Complete set;CIRCULAR;241,133,0;Midi;Evase;;;;;;;;Sin Estampado;Casual Chic;TIME OFF;24/4/2023;18/6/2023;8;868;7;FALSE;25.99;70542;17284
74;verano;Shirt;Tops;WOVEN;0,0,0;Standard;Evase;;V-Neck;Long;;;;;Sin Estampado;Lady;FORMAL WORK;16/1/2023;7/5/2023;16;942;11;TRUE;22.99;45013;13823
76;invierno;Skirts;Bottoms;WOVEN;57,28,29;Midi;Pencil;;;;;;Medium;;Sin Estampado;Lady;CASUAL WORK;14/10/2024;8/12/2024;8;168;3;FALSE;49.99;3445;1437
77;verano;Tops;Tops;WOVEN;243,242,238;Standard;Straight;;Close-fitting;Sleeveless;;;Light;;Sin Estampado;;TIME OFF;5/12/2022;26/2/2023;12;116;5;FALSE;29.99;4671;1133
78;invierno;Jeans;Bottoms;JEANS;245,244,238;Ankle brace;Slim;High Waist;;;;;Medium;;Sin Estampado;;TIME OFF;3/6/2024;25/8/2024;12;1028;8;FALSE;29.99;64058;18168
79;verano;Trousers;Bottoms;JEANS;224,198,198;Crop;Slouchy;High Waist;;;;;Medium;;Sin Estampado;;TIME OFF;17/4/2023;25/6/2023;10;443;7;FALSE;27.99;23016;12419
81;verano;Tops;Tops;WOVEN;216,209,195;Standard;;;Word honor;Sleeveless;;;Medium;;Sin Estampado;;CASUAL EVENT;4/3/2024;28/4/2024;8;180;4;FALSE;25.99;8001;2685
82;verano;Trousers;Bottoms;WOVEN;79,132,84;Long;Slim;Regular Waist;;;;;;;Sin Estampado;Lady;FORMAL WORK;11/12/2023;31/3/2024;16;1121;7;FALSE;27.99;58479;9078
83;invierno;Blazers;Outerwear;WOVEN;54,31,18;Standard;Straight;;Flap;Long;;;Medium;;Sin Estampado;Casual Chic;CASUAL WORK;21/8/2023;21/1/2024;22;1236;7;FALSE;49.99;59229;37780
84;invierno;Trousers;Bottoms;TRICOT;0,0,0;Standard;Regular;Adjustable / Rubber;;;;;;Fine point;Sin Estampado;Ideal;TIME OFF;25/9/2023;19/11/2023;8;143;5;FALSE;35.99;4740;1039
85;invierno;Cardigans;Tops;TRICOT;235,205,207;Crop;Slim;;V-Neck;Long;;;;Midpoint;Sin Estampado;Casual Chic;TIME OFF;16/10/2023;10/12/2023;8;165;3;FALSE;29.99;5814;739
86;invierno;Coats;Outerwear;WOVEN;0,0,0;Long;Slim;;Flap;Long;;;Heavy;;Sin Estampado;Lady;FORMAL EVENT;14/10/2024;22/12/2024;10;585;7;FALSE;159.99;14897;10917
87;verano;Dresses;Dresses, jumpsuits and Complete set;WOVEN;68,178,169;Midi;;;Draped;Short;;;Light;;Sin Estampado;;FORMAL EVENT;6/3/2023;28/5/2023;12;173;5;FALSE;59.99;3449;1680
88;invierno;T-shirt;Tops;CIRCULAR;243,242,238;Standard;Regular;;Rounded Neck;Short;;;Medium;;Rayas;Authentic;TIME OFF;29/5/2023;12/11/2023;24;111;5;FALSE;9.99;10333;2531
89;verano;Dresses;Dresses, jumpsuits and Complete set;WOVEN;229,77,78;Long;Evase;;Shirt-style collar;Sleeveless;;;Light;;Sin Estampado;;CASUAL WORK;8/4/2024;5/5/2024;4;72;7;TRUE;39.99;4717;479
91;invierno;Sweater;Tops;TRICOT;189,22,62;Standard;Straight;;Turtle neck;Long;;;;Midpoint;Sin Estampado;;TIME OFF;14/10/2024;8/12/2024;8;787;5;FALSE;39.99;13568;4017
92;invierno;T-shirt;Tops;CIRCULAR;233,227,214;Standard;Regular;;Rounded Neck;Short;;;Heavy;;Sin Estampado;Lady;TIME OFF;25/9/2023;19/11/2023;8;69;4;FALSE;12.99;3544;688
93;verano;Trousers;Bottoms;WOVEN;0,0,0;Crop;Culotte;Adjustable / Rubber;;;;;Light;;Sin Estampado;;TIME OFF;14/11/2022;5/2/2023;12;141;5;FALSE;27.99;9056;1681
94;invierno;Intimate;Accesories, Swim and Intimate;TRICOT;225,204,175;;;;;;;;;;Sin Estampado;Authentic;TIME OFF;21/8/2023;10/12/2023;16;59;3;FALSE;39.99;1103;704
95;invierno;Dresses;Dresses, jumpsuits and Complete set;WOVEN;178,211,178;Long;Evase;;Low cut;Fine Strap;;;Light;;Sin Estampado;;TIME OFF;8/7/2024;4/8/2024;4;133;5;FALSE;45.99;7221;1993
96;verano;Tops;Tops;WOVEN;243,201,194;Crop;Slim;;Low cut;Wide Strap;;;Heavy;;Sin Estampado;;CASUAL EVENT;12/12/2022;5/3/2023;12;134;5;FALSE;29.99;5264;1128
97;invierno;Skirts;Bottoms;WOVEN;0,0,0;Short;Straight;;;;;;;;Sin Estampado;;FORMAL WORK;30/9/2024;22/12/2024;12;601;7;FALSE;35.99;18861;11710
98;invierno;Trousers;Bottoms;SYNTHETIC LEATHER;0,0,0;Long;5 pockets;High Waist;;;;;Medium;;Sin Estampado;Casual Chic;CASUAL WORK;23/9/2024;12/1/2025;16;715;11;FALSE;39.99;50810;14512
99;invierno;Trousers;Bottoms;TRICOT;0,0,0;Long;Straight;Adjustable / Rubber;;;;;;Fine point;Sin Estampado;;TIME OFF;23/9/2024;1/12/2024;10;92;5;FALSE;39.99;3362;604
101;invierno;Jeans;Bottoms;JEANS;241,133,0;Capri;Slim;Regular Waist;;;;;;;Sin Estampado;;TIME OFF;20/5/2024;16/6/2024;4;128;6;FALSE;29.99;8149;564
102;verano;T-shirt;Tops;CIRCULAR;0,0,0;Standard;Straight;;Swan;Long;;;Light;;Sin Estampado;Authentic;TIME OFF;27/11/2023;18/2/2024;12;929;7;FALSE;19.99;40743;19952
103;verano;Vest;Outerwear;CIRCULAR;0,0,0;Standard;Straight;;Shirt-style collar;;;;Light;;Sin Estampado;Casual Chic;TIME OFF;25/3/2024;19/5/2024;8;1101;7;FALSE;19.99;63924;24200
104;invierno;Dresses;Dresses, jumpsuits and Complete set;WOVEN;29,80,144;Long;Evase;;Close-fitting;Sleeveless;;;Light;;Sin Estampado;Lady;FORMAL EVENT;29/7/2024;22/9/2024;8;124;5;FALSE;79.99;3259;680
105;verano;Trousers;Bottoms;CIRCULAR;0,0,0;Standard;Straight;;;;;;Light;;Sin Estampado;Lady;TIME OFF;29/4/2024;23/6/2024;8;615;5;FALSE;22.99;30159;19463
106;verano;Tops;Tops;TRICOT;0,0,0;Crop;Slim;;Close-fitting;Wide Strap;;;;Fine point;Sin Estampado;;TIME OFF;1/5/2023;11/6/2023;6;933;7;FALSE;15.99;33051;12552
107;verano;Blazers;Outerwear;WOVEN;240,226,164;Standard;Straight;;;;;;;;Sin Estampado;Ideal;FORMAL EVENT;10/4/2023;4/6/2023;8;156;7;FALSE;89.99;8602;964
108;verano;Vest;Outerwear;CIRCULAR;0,0,0;Standard;Straight;;V-Neck;;;;Light;;Sin Estampado;Authentic;CASUAL WORK;20/3/2023;14/5/2023;8;468;5;FALSE;27.99;25503;2948
109;verano;Jackets;Outerwear;WOVEN;81,77,50;Short;;;Rounded Neck;Long;;;Medium;;Sin Estampado;Ideal;TIME OFF;29/1/2024;7/4/2024;10;429;7;FALSE;49.99;16862;2488
110;invierno;T-shirt;Tops;CIRCULAR;219,207,189;Standard;Regular;;V-Neck;Short;;;Light;;Sin Estampado;Lady;TIME OFF;19/8/2024;8/12/2024;16;857;7;TRUE;7.99;69205;33874
111;invierno;Skirts;Bottoms;CIRCULAR;42,49,66;Short;Slim;Regular Waist;;;;;Medium;;Sin Estampado;Lady;CASUAL EVENT;28/10/2024;22/12/2024;8;929;5;FALSE;29.99;18822;11374
112;verano;Jumpsuit;Dresses, jumpsuits and Complete set;CIRCULAR;0,0,0;Long;Straight;;Close-fitting;;;;Light;;Sin Estampado;Casual Chic;CASUAL EVENT;8/5/2023;18/6/2023;6;225;7;FALSE;39.99;15499;4691
113;verano;Jeans;Bottoms;JEANS;23,26,28;Ankle brace;Mom;High Waist;;;;;Medium;;Sin Estampado;;TIME OFF;5/12/2022;21/5/2023;24;1080;12;FALSE;29.99;109338;93018
114;invierno;Dresses;Dresses, jumpsuits and Complete set;WOVEN;0,0,0;Short;Evase;;Wrap collar;Long;;;Light;;Sin Estampado;;CASUAL EVENT;4/11/2024;29/12/2024;8;1124;11;TRUE;39.99;36642;11604
115;invierno;Cardigans;Tops;TRICOT;180,199,213;Standard;Straight;;V-Neck;Long;;;;Fine point;Sin Estampado;;CASUAL WORK;26/8/2024;20/10/2024;8;685;11;TRUE;22.99;23659;12562
117;invierno;Sweater;Tops;TRICOT;156,116,71;Standard;Slim;;Perkins;Long;;;;Fine point;Sin Estampado;;CASUAL WORK;4/11/2024;29/12/2024;8;830;6;FALSE;29.99;24385;2129
118;invierno;T-shirt;Tops;CIRCULAR;102,102,102;Standard;Slim;;Rounded Neck;Long;;;Light;;Sin Estampado;Authentic;CASUAL WORK;25/9/2023;17/12/2023;12;911;5;FALSE;17.99;28150;15312
119;invierno;Jackets;Outerwear;WOVEN;0,0,0;Standard;Straight;;Close-fitting;Long;;;Medium;;Sin Estampado;Lady;FORMAL WORK;30/10/2023;24/12/2023;8;327;11;FALSE;69.99;8131;2506
120;invierno;T-shirt;Tops;CIRCULAR;242,160,157;Standard;Regular;;Rounded Neck;Short;;;Medium;;Sin Estampado;Casual Chic;TIME OFF;24/7/2023;15/10/2023;12;124;5;FALSE;9.99;5762;1316
121;invierno;Skirts;Bottoms;SYNTHETIC LEATHER;0,0,0;Midi;Pencil;;;;;;;;Sin Estampado;Casual Chic;CASUAL WORK;23/9/2024;12/1/2025;16;1119;12;TRUE;29.99;57019;25048
122;verano;Skirts;Bottoms;JEANS;81,77,50;Mini/Micro;Slim;Regular Waist;;;;;Medium;;Sin Estampado;Casual Chic;TIME OFF;17/4/2023;11/6/2023;8;552;7;FALSE;29.99;28403;4276
123;verano;Shorts;Bottoms;JEANS;23,26,28;Short;Paperbag;High Waist;;;;;Medium;;Sin Estampado;Lady;TIME OFF;27/3/2023;21/5/2023;8;459;7;FALSE;25.99;30087;5609
126;invierno;Shirt;Tops;JEANS;42,49,66;Crop;Oversize;;;;;;;;Sin Estampado;;TIME OFF;20/5/2024;14/7/2024;8;499;7;FALSE;25.99;28057;9265
127;verano;Tops;Tops;CIRCULAR;245,244,238;Standard;Slim;;Asymmetric;Sleeveless;;;Light;;Sin Estampado;Authentic;TIME OFF;8/5/2023;2/7/2023;8;748;6;FALSE;17.99;39459;9414
129;verano;Dresses;Dresses, jumpsuits and Complete set;WOVEN;243,242,238;Short;Evase;;Wrap collar;Long;;;Light;;Flores;Lady;FORMAL WORK;3/4/2023;14/5/2023;6;1135;11;TRUE;39.99;45402;8582
130;verano;Dresses;Dresses, jumpsuits and Complete set;WOVEN;188,14,45;Midi;Straight;;Off Shoulder;Wide Strap;;;Medium;;Sin Estampado;;FORMAL EVENT;11/3/2024;5/5/2024;8;800;7;FALSE;49.99;37897;30435
131;verano;Dresses;Dresses, jumpsuits and Complete set;WOVEN;245,244,238;Long;Evase;;Rounded Neck;Short;;;Light;;Otros Estampados;;CASUAL EVENT;12/12/2022;5/3/2023;12;124;5;FALSE;59.99;4069;929
133;verano;Jackets;Outerwear;LEATHER;162,130,120;Standard;Oversize;;;Long;;;Heavy;;Sin Estampado;;TIME OFF;29/1/2024;5/5/2024;14;229;7;FALSE;99.99;4906;1585
134;invierno;Sweater;Tops;TRICOT;0,0,0;Standard;Straight;;Turtle neck;;;;;Midpoint;Sin Estampado;Lady;TIME OFF;7/8/2023;1/10/2023;8;1168;11;FALSE;27.99;57357;27687
135;invierno;T-shirt;Tops;CIRCULAR;162,130,120;Standard;Slim;;Boat;Long;;;Light;;Sin Estampado;Wow;CASUAL WORK;2/10/2023;26/11/2023;8;286;5;FALSE;19.99;13445;4981
136;invierno;Blazers;Outerwear;LEATHER;0,0,0;Standard;Straight;;;Long;;;;;Sin Estampado;Lady;FORMAL WORK;4/9/2023;29/10/2023;8;81;5;FALSE;249.99;1769;441
138;invierno;Leather jackets;Outerwear;LEATHER;0,0,0;Standard;Slim;;Shirt-style collar;;;;Medium;;;Casual Chic;TIME OFF;26/8/2024;12/1/2025;20;1085;11;TRUE;99.99;50078;20702
139;verano;Shirt;Tops;WOVEN;0,0,0;Standard;Evase;;V-Neck;Long;;;Light;;Sin Estampado;;CASUAL WORK;19/2/2024;14/4/2024;8;921;11;TRUE;25.99;39529;17219
140;invierno;Dresses;Dresses, jumpsuits and Complete set;TRICOT;219,207,189;Midi;Slim;;V-Neck;Long;;;;Fine point;Sin Estampado;Authentic;CASUAL WORK;28/8/2023;24/9/2023;4;98;7;FALSE;29.99;8003;733
142;verano;Shirt;Tops;WOVEN;189,22,62;Standard;Regular;;Shirt-style collar;Short;;;Light;;Flores;;CASUAL EVENT;5/12/2022;26/2/2023;12;117;5;FALSE;35.99;4089;952
144;verano;Jumpsuit;Dresses, jumpsuits and Complete set;WOVEN;243,242,238;Long;Straight;;Halter;Fine Strap;;;Light;;Flores;Lady;FORMAL EVENT;27/3/2023;21/5/2023;8;93;5;FALSE;49.99;6527;610
145;verano;Trousers;Bottoms;WOVEN;189,22,62;Crop;Culotte;Adjustable / Rubber;;;;;Light;;Flores;Casual Chic;TIME OFF;22/4/2024;16/6/2024;8;854;7;FALSE;22.99;47612;16981
146;invierno;T-shirt;Tops;CIRCULAR;243,242,238;;;;;;;;;;Sin Estampado;Lady;CASUAL WORK;11/9/2023;5/11/2023;8;563;7;FALSE;19.99;28562;9987
147;verano;Swimwear;Accesories, Swim and Intimate;CIRCULAR;157,157,196;;;;;;;;;;Sin Estampado;Cosmopolitan;TIME OFF;25/3/2024;30/6/2024;14;33;4;FALSE;19.99;2673;455
148;invierno;Jeans;Bottoms;JEANS;141,154,165;Crop;Flared / Bootcut;Regular Waist;;;;;;;Sin Estampado;Lady;TIME OFF;16/9/2024;8/12/2024;12;647;12;TRUE;25.99;54203;28042
149;invierno;Trousers;Bottoms;WOVEN;245,244,238;Crop;Culotte;Adjustable / Rubber;;;;;Light;;Sin Estampado;Lady;TIME OFF;27/5/2024;13/10/2024;20;116;5;FALSE;29.99;7270;925
150;verano;Dresses;Dresses, jumpsuits and Complete set;CIRCULAR;0,0,0;Midi;Evase;;Shirt-style collar;Long;;;Light;;Sin Estampado;Lady;CASUAL WORK;18/3/2024;12/5/2024;8;518;11;FALSE;35.99;24558;2212
151;invierno;Sweater;Tops;TRICOT;0,0,0;Standard;Slim;;V-Neck;Long;;;;Fine point;Sin Estampado;Casual Chic;CASUAL WORK;28/8/2023;19/11/2023;12;1119;11;FALSE;19.99;68750;29797
152;invierno;Jackets;Outerwear;TRICOT;233,227,214;Standard;Straight;;Rounded Neck;Long;;;Light;Midpoint;Sin Estampado;;CASUAL WORK;26/8/2024;20/10/2024;8;1192;5;FALSE;39.99;47542;34837
153;invierno;Dresses;Dresses, jumpsuits and Complete set;CIRCULAR;81,50,101;Long;Evase;;Wrap collar;Short;;;Elastic;;Sin Estampado;Expert;FORMAL EVENT;27/5/2024;23/6/2024;4;57;5;FALSE;69.99;1385;595
