ID;id_season;weekly_demand;family;category;fabric;color_rgb;length_type;silhouette_type;waist_type;neck_lapel_type;sleeve_length_type;heel_shape_type;toecap_type;woven_structure;knit_structure;print_type;archetype;moment;phase_in;phase_out;life_cycle_length;num_stores;num_sizes;has_plus_sizes;price;Production
99;89;604;24;1;4;0;4;27;0;-1;-1;;;-1;0;20;-1;4;82;2;10;92;5;False;39.99;3362
101;89;564;7;1;1;157;2;25;3;-1;-1;;;-1;-1;20;-1;4;72;58;4;128;6;False;29.99;8149
102;88;19952;21;4;0;0;10;27;-1;21;1;;;2;-1;20;0;4;99;64;12;929;7;False;19.99;40743
103;88;24200;25;3;0;0;10;27;-1;20;-1;;;2;-1;20;1;4;88;70;8;1101;7;False;19.99;63924
104;89;680;4;2;5;178;4;8;-1;3;3;;;2;-1;20;5;2;106;79;8;124;5;False;79.99;3259
105;88;19463;24;1;0;0;10;27;-1;-1;-1;;;2;-1;20;5;4;104;83;8;615;5;False;22.99;30159
106;86;12552;22;4;4;0;3;25;-1;3;5;;;-1;0;20;-1;4;2;38;6;933;7;False;15.99;33051
107;86;964;0;3;5;154;10;27;-1;-1;-1;;;-1;-1;20;4;2;33;12;8;156;7;False;89.99;8602
108;86;2948;25;3;0;0;10;27;-1;24;-1;;;2;-1;20;0;1;71;50;8;468;5;False;27.99;25503
109;88;2488;6;3;5;225;9;-1;-1;19;1;;;3;-1;20;4;4;103;22;10;429;7;False;49.99;16862
110;89;33874;21;4;0;120;10;21;-1;24;2;;;2;-1;20;5;4;68;28;16;857;7;True;7.99;69205
111;89;11374;17;1;0;186;9;25;3;-1;-1;;;3;-1;20;5;0;101;81;8;929;5;False;29.99;18822
112;86;4691;8;2;0;0;4;27;-1;3;-1;;;2;-1;20;1;0;28;65;6;225;7;False;39.99;15499
113;86;93018;7;1;1;134;0;14;1;-1;-1;;;3;-1;20;-1;4;18;76;24;1080;12;False;29.99;109338
114;89;11604;4;2;5;0;9;8;-1;26;1;;;2;-1;20;-1;0;13;107;8;1124;11;True;39.99;36642
115;89;12562;2;4;4;78;10;27;-1;24;1;;;-1;0;20;-1;1;94;73;8;685;11;True;22.99;23659
117;89;2129;18;4;4;50;10;25;-1;16;1;;;-1;0;20;-1;1;13;107;8;830;6;False;29.99;24385
118;87;15312;21;4;0;6;10;25;-1;19;1;;;2;-1;20;0;1;89;63;12;911;5;False;17.99;28150
119;87;2506;6;3;5;0;10;27;-1;3;1;;;3;-1;20;5;3;109;88;8;327;11;False;69.99;8131
120;87;1316;21;4;0;158;10;21;-1;19;2;;;3;-1;20;1;4;86;54;12;124;5;False;9.99;5762
121;89;25048;17;1;3;0;7;19;-1;-1;-1;;;-1;-1;20;1;1;82;41;16;1119;12;True;29.99;57019
122;86;4276;17;1;1;225;8;25;3;-1;-1;;;3;-1;20;1;4;59;38;8;552;7;False;29.99;28403
123;86;5609;16;1;1;134;9;17;1;-1;-1;;;3;-1;20;5;4;97;76;8;459;7;False;25.99;30087
126;89;9265;15;4;1;186;3;15;-1;-1;-1;;;-1;-1;20;-1;4;72;51;8;499;7;False;25.99;28057
127;86;9414;22;4;0;166;10;25;-1;0;3;;;2;-1;20;0;4;28;6;8;748;6;False;17.99;39459
129;86;8582;4;2;5;162;9;8;-1;26;1;;;2;-1;7;5;3;8;50;6;1135;11;True;39.99;45402
130;88;30435;4;2;5;90;7;27;-1;13;5;;;3;-1;20;-1;2;36;17;8;800;7;False;49.99;37897
131;86;929;4;2;5;166;4;8;-1;19;2;;;2;-1;15;-1;0;43;16;12;124;5;False;59.99;4069
133;88;1585;6;3;2;56;10;15;-1;-1;1;;;1;-1;20;-1;4;103;17;14;229;7;False;99.99;4906
134;87;27687;18;4;4;0;10;27;-1;22;-1;;;-1;2;20;5;4;23;1;8;1168;11;False;27.99;57357
135;87;4981;21;4;0;56;10;25;-1;2;1;;;2;-1;20;6;1;6;97;8;286;5;False;19.99;13445
136;87;441;0;3;2;0;10;27;-1;-1;1;;;-1;-1;20;5;3;12;106;8;81;5;False;249.99;1769
138;89;20702;9;3;2;0;10;25;-1;20;-1;;;3;-1;-1;1;4;94;41;20;1085;11;True;99.99;50078
139;88;17219;15;4;5;0;10;8;-1;24;1;;;2;-1;20;-1;1;66;49;8;921;11;True;25.99;39529
140;87;733;4;2;4;120;7;25;-1;24;1;;;-1;0;20;0;1;100;86;4;98;7;False;29.99;8003
142;86;952;15;4;5;94;10;21;-1;20;2;;;2;-1;7;-1;0;18;94;12;117;5;False;35.99;4089
144;86;610;8;2;5;162;4;27;-1;7;0;;;2;-1;7;5;2;97;76;8;93;5;False;49.99;6527
145;88;16981;24;1;5;94;3;7;0;-1;-1;;;2;-1;7;1;4;78;58;8;854;7;False;22.99;47612
146;87;9987;21;4;0;162;-1;-1;-1;-1;-1;;;-1;-1;20;5;1;37;18;8;563;7;False;19.99;28562
147;88;455;20;0;0;52;-1;-1;-1;-1;-1;;;-1;-1;20;2;4;88;109;14;33;4;False;19.99;2673
148;89;28042;7;1;1;36;3;9;3;-1;-1;;;-1;-1;20;5;4;56;28;12;647;12;True;25.99;54203
149;89;925;24;1;5;166;3;7;0;-1;-1;;;2;-1;20;5;4;98;47;20;116;5;False;29.99;7270
150;88;2212;4;2;0;0;7;8;-1;20;1;;;2;-1;20;5;1;62;44;8;518;11;False;35.99;24558
151;87;29797;18;4;4;0;10;25;-1;24;1;;;-1;0;20;1;1;100;71;12;1119;11;False;19.99;68750
152;89;34837;6;3;4;138;10;27;-1;19;1;;;2;2;20;-1;1;94;73;8;1192;5;False;39.99;47542
153;89;595;4;2;0;224;4;8;-1;26;2;;;0;-1;20;3;2;98;83;4;57;5;False;69.99;1385
154;88;9294;21;4;0;202;10;25;-1;2;2;;;2;-1;20;5;4;36;70;10;411;5;False;17.99;15703
155;89;69692;21;4;0;0;10;27;-1;2;1;;;2;-1;20;-1;4;68;87;14;1046;9;True;9.99;112536
156;88;1123;4;2;0;0;4;8;-1;26;1;;;2;-1;20;1;2;92;22;6;92;5;False;59.99;3814
157;87;23349;16;1;1;191;9;25;1;-1;-1;;;3;-1;20;-1;4;93;61;12;569;8;False;22.99;42478
158;86;5788;4;2;5;123;7;27;-1;11;2;;;2;-1;7;0;2;45;82;6;373;5;False;69.99;14222
159;88;1067;22;4;4;166;10;25;-1;11;2;;;-1;0;20;0;4;52;31;8;144;5;False;25.99;6707
161;86;237;18;4;4;138;10;27;-1;24;1;;;-1;2;20;5;0;8;50;6;29;3;False;49.99;482
162;87;248;21;4;0;0;3;25;-1;19;1;;;2;-1;20;0;4;23;106;12;23;5;False;15.99;2398
163;88;13757;24;1;5;75;4;-1;-1;-1;-1;;;2;-1;20;-1;3;92;17;10;821;8;False;39.99;23753
164;86;7645;4;2;5;165;4;8;-1;7;0;;;2;-1;20;5;2;33;12;8;300;5;False;59.99;14314
165;87;660;18;4;4;225;10;25;-1;3;1;;;-1;0;20;4;1;100;86;4;84;7;False;19.99;4161
166;88;9414;6;3;5;0;6;15;-1;20;1;;;3;-1;20;4;1;40;75;10;597;5;False;59.99;14229
167;87;1177;4;2;4;174;7;27;-1;3;1;;;-1;2;20;5;4;22;112;8;202;5;False;49.99;7547
168;87;19315;24;1;5;31;4;27;0;-1;-1;;;3;-1;20;4;3;86;106;14;1153;7;False;39.99;30136
169;87;3386;24;1;4;0;10;27;0;-1;-1;;;-1;0;20;1;4;12;97;12;125;5;False;22.99;3663
170;86;18997;21;4;0;162;10;21;-1;19;2;;;2;-1;20;0;4;97;76;8;437;7;False;12.99;32877
171;89;2313;7;1;1;178;10;27;3;-1;-1;;;3;-1;20;-1;4;29;0;8;157;7;False;35.99;10687
172;89;3926;22;4;4;202;10;25;-1;22;3;;;-1;2;20;-1;1;13;107;8;457;4;False;29.99;12114
173;86;935;15;4;5;119;4;15;-1;20;1;;;2;-1;20;1;1;45;23;8;211;3;False;35.99;10468
174;89;5945;22;4;0;0;10;25;-1;2;2;;;2;-1;20;5;0;49;28;8;1036;7;False;17.99;46695
175;86;5397;2;4;4;178;10;25;-1;24;1;;;-1;0;20;-1;1;33;12;8;407;7;False;25.99;15440
176;88;5015;0;3;5;87;10;-1;-1;5;1;;;3;-1;20;-1;3;88;5;10;704;11;True;69.99;23097
177;86;25730;24;1;5;132;-1;-1;0;-1;-1;;;2;-1;20;5;3;96;23;10;769;7;False;29.99;35928
178;89;184;3;3;2;0;-1;-1;-1;-1;-1;;;-1;-1;20;6;4;101;81;8;32;4;False;699.99;347
179;87;1482;17;1;5;132;9;27;2;-1;-1;;;3;-1;20;5;3;48;27;8;335;7;False;29.99;10496
180;88;39069;22;4;0;0;3;27;-1;-1;-1;;;-1;-1;20;5;4;104;83;8;1170;7;False;22.99;48470
181;89;1493;24;1;5;38;10;10;3;-1;-1;;;3;-1;20;0;3;64;93;10;325;6;False;35.99;12533
183;89;22178;7;1;1;162;0;7;1;-1;-1;;;3;-1;20;-1;4;106;73;12;845;8;False;29.99;74440
184;86;1784;8;2;5;175;4;27;-1;0;4;;;3;-1;20;-1;0;4;95;12;170;5;False;49.99;4523
187;88;2006;4;2;5;222;4;8;-1;7;0;;;2;-1;20;1;1;73;37;12;101;5;False;39.99;7088
188;86;20355;15;4;5;222;10;21;-1;20;1;;;2;-1;7;1;1;84;12;6;734;5;False;29.99;30414
189;88;18323;0;3;5;225;10;27;-1;5;1;;;3;-1;20;5;3;51;22;12;1164;11;False;59.99;53320
191;86;8088;24;1;5;178;4;16;1;-1;-1;;;2;-1;12;5;2;45;82;6;498;12;True;39.99;28871
192;87;50689;16;1;1;138;9;17;1;-1;-1;;;3;-1;20;-1;4;2;72;16;915;7;False;25.99;63173
194;86;1271;22;4;0;96;10;27;-1;19;0;;;3;-1;20;-1;2;70;50;12;103;5;False;35.99;2157
195;87;1852;4;2;0;0;9;25;-1;3;5;;;2;-1;20;0;4;79;110;10;144;3;False;19.99;9446
198;86;25660;4;2;0;200;7;27;-1;-1;-1;;;-1;-1;20;1;4;2;90;8;567;7;False;25.99;39524
200;89;2234;17;1;1;208;4;27;3;-1;-1;;;3;-1;20;-1;4;68;47;8;295;5;False;35.99;15480
201;89;1863;24;1;1;23;10;10;3;-1;-1;;;3;-1;20;4;4;75;55;8;175;6;False;35.99;2915
202;88;10043;25;3;0;138;3;27;-1;24;-1;;;2;-1;20;0;3;46;83;6;349;5;False;22.99;12952
203;88;1126;17;1;5;165;1;8;2;-1;-1;;;3;-1;20;-1;4;21;109;8;123;1;False;22.99;2449
204;87;6901;22;4;5;0;10;25;-1;24;0;;;2;-1;20;5;4;16;110;8;440;4;False;27.99;19844
206;87;10776;2;4;4;194;10;27;-1;24;1;;;-1;3;20;5;0;109;88;8;672;7;False;39.99;17439
207;86;1014;4;2;0;94;9;8;-1;24;1;;;3;-1;20;-1;0;18;94;12;153;5;False;35.99;5955
208;87;13967;4;2;5;138;9;8;-1;11;0;;;2;-1;9;-1;4;105;32;6;405;7;False;27.99;20027
209;89;9106;6;3;5;138;10;27;-1;20;1;;;3;-1;20;-1;1;17;47;10;405;7;False;69.99;17608
210;89;30015;24;1;5;194;4;11;0;-1;-1;;;-1;-1;20;-1;1;42;9;12;1140;5;False;35.99;52331
211;87;1576;15;4;5;138;10;27;-1;22;1;;;2;-1;20;-1;4;57;36;8;173;4;False;39.99;5392
212;89;319;22;4;0;47;10;27;-1;22;3;;;2;-1;20;6;4;56;35;8;41;3;False;17.99;401
214;87;25035;4;2;0;31;9;27;-1;24;1;;;3;-1;20;3;0;22;112;8;1183;11;False;29.99;43820
215;86;1545;4;2;5;165;9;25;-1;3;3;;;2;-1;20;-1;1;50;69;18;144;5;False;29.99;8589
216;88;12057;15;4;5;138;10;27;-1;26;1;;;2;-1;7;-1;3;27;70;6;1093;11;True;29.99;40126
218;89;8845;21;4;0;162;10;27;-1;19;2;;;2;-1;20;0;4;9;103;8;591;7;False;15.99;29500
219;87;312;4;2;5;85;4;27;-1;11;0;;;2;-1;10;-1;4;79;59;8;58;3;False;39.99;2597
220;88;3701;4;2;5;94;7;-1;-1;11;1;;;2;-1;12;-1;3;103;33;6;424;5;False;49.99;14697
222;89;17750;4;2;5;222;4;8;-1;11;0;;;-1;-1;15;-1;3;106;26;6;719;7;False;49.99;24397
223;88;10730;21;4;0;6;10;27;-1;19;2;;;2;-1;20;5;4;1;31;10;860;7;False;12.99;51393
224;86;4986;4;2;5;222;4;8;-1;20;1;;;2;-1;19;6;3;20;57;6;703;7;False;45.99;25028
225;89;3128;0;3;5;153;10;21;-1;5;1;;;-1;-1;20;-1;3;94;9;10;840;7;False;49.99;18388
226;89;7005;17;1;5;23;7;27;3;-1;-1;;;2;-1;6;-1;3;42;20;8;927;7;False;29.99;37283
227;88;11621;4;2;0;225;7;25;-1;19;3;;;2;-1;20;4;4;52;83;10;573;7;True;19.99;34520
228;87;17807;18;4;4;138;10;27;-1;19;1;;;-1;3;20;5;4;22;112;8;1075;7;False;39.99;23792
229;89;3457;2;4;4;138;9;27;-1;3;2;;;-1;2;20;-1;1;82;62;8;717;11;True;35.99;25947
230;88;7113;18;4;4;138;10;27;-1;17;1;;;-1;0;20;0;1;40;22;8;647;7;False;29.99;26926
231;89;11335;6;3;4;94;10;27;-1;3;1;;;-1;2;20;-1;1;108;87;8;818;5;False;39.99;23151
232;87;7084;15;4;5;0;10;27;-1;22;1;;;2;-1;15;-1;3;23;1;8;662;11;False;29.99;35111
233;87;12161;24;1;5;6;4;25;3;-1;-1;;;3;-1;20;-1;3;89;10;10;577;11;False;35.99;19242
234;89;622;22;4;4;0;10;25;-1;25;-1;;;-1;3;20;-1;0;38;28;4;146;3;False;29.99;4479
235;86;7854;18;4;4;113;10;27;-1;16;1;;;-1;2;20;-1;4;102;78;8;472;7;False;29.99;18510
237;86;3253;6;3;5;0;10;27;-1;-1;-1;;;-1;-1;20;5;3;18;52;6;306;7;False;69.99;8541
238;87;2219;4;2;5;0;4;15;-1;0;3;;;-1;-1;20;-1;2;6;45;6;109;7;False;59.99;4539
239;86;8844;4;2;5;99;9;-1;-1;13;1;;;2;-1;20;0;3;45;23;8;984;7;False;45.99;38601
241;86;10713;4;2;5;0;4;8;-1;22;3;;;2;-1;20;5;3;55;23;16;694;7;False;45.99;27298
242;88;188;19;4;0;194;-1;-1;-1;-1;-1;;;-1;-1;20;5;4;27;17;4;21;3;False;45.99;351
244;87;5905;21;4;0;87;-1;-1;-1;-1;-1;;;-1;-1;20;4;4;23;1;8;459;5;False;15.99;22754
245;87;377;4;2;5;49;9;25;-1;3;1;;;2;-1;15;-1;1;89;18;6;142;5;False;45.99;6641
246;89;22185;22;4;0;125;10;27;-1;19;3;;;2;-1;20;-1;4;34;13;8;502;7;False;12.99;30692
247;86;20297;3;3;5;50;6;27;-1;5;1;;;1;-1;20;5;3;87;52;12;936;11;True;99.99;44665
248;87;4935;21;4;0;140;10;21;-1;19;2;;;2;-1;20;0;4;37;18;8;288;5;False;15.99;14722
249;88;1164;17;1;4;0;7;25;0;-1;-1;;;-1;0;20;0;4;73;100;10;70;5;False;29.99;4173
250;87;2847;18;4;4;222;10;15;-1;16;1;;;-1;3;20;0;4;105;72;12;78;7;False;29.99;15178
251;87;21980;15;4;5;178;10;21;-1;20;3;;;2;-1;10;-1;1;105;84;8;972;7;False;22.99;43150
252;89;7863;8;2;0;0;4;27;-1;2;3;;;2;-1;20;5;0;94;73;8;528;5;False;45.99;17075
253;87;11657;15;4;5;0;10;8;-1;24;3;;;2;-1;20;5;1;35;8;8;716;11;False;25.99;27898
254;89;20851;4;2;4;37;7;8;-1;24;5;;;-1;0;20;-1;1;72;39;12;1151;7;False;29.99;31221
255;86;19410;3;3;5;50;6;25;-1;5;1;;;1;-1;20;5;3;18;94;12;901;11;True;75.99;34571
256;89;14606;6;3;5;23;4;15;-1;20;1;;;1;-1;20;1;4;24;107;12;622;7;False;89.99;28929
257;88;16387;22;4;4;194;10;27;-1;3;5;;;-1;2;20;0;4;88;70;8;845;6;False;22.99;27716
258;89;803;16;1;5;138;-1;27;3;-1;-1;;;-1;-1;20;1;1;29;99;16;111;5;False;25.99;3848
261;89;11153;18;4;4;132;10;27;-1;16;1;;;-1;0;20;3;1;24;2;8;445;6;True;29.99;17522
262;87;4558;21;4;0;94;10;25;-1;19;2;;;2;-1;20;0;4;86;45;16;139;6;False;7.99;49136
263;89;14778;6;3;4;194;10;27;-1;19;1;;;2;2;20;-1;1;5;99;8;952;5;False;39.99;32061
265;88;297;3;3;5;173;10;-1;-1;3;-1;;;2;-1;20;3;0;92;75;8;59;1;False;39.99;2331
266;89;13039;4;2;5;0;9;25;-1;20;2;;;3;-1;20;-1;3;94;73;8;940;11;True;29.99;33522
267;86;646;4;2;0;162;4;25;-1;-1;3;;;3;-1;20;-1;2;20;102;12;97;5;False;49.99;2657
268;89;539;4;2;0;0;4;27;-1;24;2;;;2;-1;20;0;4;82;2;10;128;5;False;39.99;5056
269;87;40508;19;4;0;125;10;21;-1;19;1;;;3;-1;20;1;4;23;106;12;1178;7;False;25.99;78794
270;87;15852;0;3;5;50;10;27;-1;5;1;;;3;-1;20;5;3;23;45;14;836;11;False;59.99;40042
271;86;9856;15;4;5;37;-1;21;-1;-1;-1;;;-1;-1;19;0;1;84;65;8;858;11;True;22.99;32146
272;86;9419;4;2;4;179;4;8;-1;24;3;;;-1;0;20;-1;1;59;38;8;429;6;False;29.99;16515
273;88;3385;20;0;0;39;-1;-1;-1;-1;-1;;;-1;-1;20;3;4;1;24;14;104;4;False;19.99;5686
274;89;24451;6;3;1;166;10;25;-1;20;1;;;3;-1;20;-1;4;9;91;12;1065;11;True;29.99;54987
277;88;15058;22;4;4;179;10;25;-1;19;3;;;-1;0;20;-1;1;27;5;8;1076;7;False;19.99;43454
279;88;3549;15;4;5;209;10;15;-1;20;1;;;2;-1;14;-1;3;66;49;8;634;5;False;35.99;21406
280;86;1523;24;1;0;225;10;-1;0;-1;-1;;;2;-1;20;-1;4;33;12;8;196;7;False;29.99;11910
281;86;3272;22;4;0;75;10;25;-1;19;0;;;2;-1;20;1;4;96;82;8;493;7;False;15.99;20129
